# Assembly name:  hs38d1
# Description:    Decoy version 1 for GRCh38
# Organism name:  Homo sapiens (human)
# Isolate:  Pool of 254 public SGDP samples
# Sex:  pooled male and female
# Taxid:          9606
# BioSample:      SAMN03200031
# BioProject:     PRJNA267742
# Submitter:      Harvard Medical School
# Date:           2014-12-18
# Assembly type:  haploid
# Release type:   major
# Assembly level: Scaffold
# Genome representation: partial
# Assembly method: fermi2 v. r167
# Expected final version: No
# Genome coverage: 30.0x
# Sequencing technology: Illumina HiSeq short-insert PCR-free
# Excluded from RefSeq: partial
# GenBank assembly accession: GCA_000786075.2
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000786095.2		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
decoy00001	unplaced-scaffold	na	na	JTFH01000001.1	<>	na	Primary Assembly	25139	na
decoy00004	unplaced-scaffold	na	na	JTFH01000002.1	<>	na	Primary Assembly	18532	na
decoy00007	unplaced-scaffold	na	na	JTFH01000003.1	<>	na	Primary Assembly	15240	na
decoy00009	unplaced-scaffold	na	na	JTFH01000004.1	<>	na	Primary Assembly	13739	na
decoy00014	unplaced-scaffold	na	na	JTFH01000005.1	<>	na	Primary Assembly	11297	na
decoy00019	unplaced-scaffold	na	na	JTFH01000006.1	<>	na	Primary Assembly	10074	na
decoy00021	unplaced-scaffold	na	na	JTFH01000007.1	<>	na	Primary Assembly	9891	na
decoy00022	unplaced-scaffold	na	na	JTFH01000008.1	<>	na	Primary Assembly	9774	na
decoy00023	unplaced-scaffold	na	na	JTFH01000009.1	<>	na	Primary Assembly	9727	na
decoy00026	unplaced-scaffold	na	na	JTFH01000010.1	<>	na	Primary Assembly	9358	na
decoy00029	unplaced-scaffold	na	na	JTFH01000011.1	<>	na	Primary Assembly	8920	na
decoy00033	unplaced-scaffold	na	na	JTFH01000012.1	<>	na	Primary Assembly	8479	na
decoy00034	unplaced-scaffold	na	na	JTFH01000013.1	<>	na	Primary Assembly	8312	na
decoy00036	unplaced-scaffold	na	na	JTFH01000014.1	<>	na	Primary Assembly	8261	na
decoy00037	unplaced-scaffold	na	na	JTFH01000015.1	<>	na	Primary Assembly	8131	na
decoy00038	unplaced-scaffold	na	na	JTFH01000016.1	<>	na	Primary Assembly	8051	na
decoy00040	unplaced-scaffold	na	na	JTFH01000017.1	<>	na	Primary Assembly	7832	na
decoy00042	unplaced-scaffold	na	na	JTFH01000018.1	<>	na	Primary Assembly	7710	na
decoy00043	unplaced-scaffold	na	na	JTFH01000019.1	<>	na	Primary Assembly	7702	na
decoy00046	unplaced-scaffold	na	na	JTFH01000020.1	<>	na	Primary Assembly	7479	na
decoy00049	unplaced-scaffold	na	na	JTFH01000021.1	<>	na	Primary Assembly	7368	na
decoy00051	unplaced-scaffold	na	na	JTFH01000022.1	<>	na	Primary Assembly	7162	na
decoy00052	unplaced-scaffold	na	na	JTFH01000023.1	<>	na	Primary Assembly	7065	na
decoy00053	unplaced-scaffold	na	na	JTFH01000024.1	<>	na	Primary Assembly	7019	na
decoy00055	unplaced-scaffold	na	na	JTFH01000025.1	<>	na	Primary Assembly	6997	na
decoy00056	unplaced-scaffold	na	na	JTFH01000026.1	<>	na	Primary Assembly	6994	na
decoy00057	unplaced-scaffold	na	na	JTFH01000027.1	<>	na	Primary Assembly	6979	na
decoy00058	unplaced-scaffold	na	na	JTFH01000028.1	<>	na	Primary Assembly	6797	na
decoy00060	unplaced-scaffold	na	na	JTFH01000029.1	<>	na	Primary Assembly	6525	na
decoy00064	unplaced-scaffold	na	na	JTFH01000030.1	<>	na	Primary Assembly	6246	na
decoy00069	unplaced-scaffold	na	na	JTFH01000031.1	<>	na	Primary Assembly	5926	na
decoy00070	unplaced-scaffold	na	na	JTFH01000032.1	<>	na	Primary Assembly	5914	na
decoy00071	unplaced-scaffold	na	na	JTFH01000033.1	<>	na	Primary Assembly	5898	na
decoy00072	unplaced-scaffold	na	na	JTFH01000034.1	<>	na	Primary Assembly	5879	na
decoy00073	unplaced-scaffold	na	na	JTFH01000035.1	<>	na	Primary Assembly	5834	na
decoy00075	unplaced-scaffold	na	na	JTFH01000036.1	<>	na	Primary Assembly	5743	na
decoy00080	unplaced-scaffold	na	na	JTFH01000037.1	<>	na	Primary Assembly	5577	na
decoy00081	unplaced-scaffold	na	na	JTFH01000038.1	<>	na	Primary Assembly	5413	na
decoy00085	unplaced-scaffold	na	na	JTFH01000039.1	<>	na	Primary Assembly	5250	na
decoy00086	unplaced-scaffold	na	na	JTFH01000040.1	<>	na	Primary Assembly	5246	na
decoy00088	unplaced-scaffold	na	na	JTFH01000041.1	<>	na	Primary Assembly	5118	na
decoy00090	unplaced-scaffold	na	na	JTFH01000042.1	<>	na	Primary Assembly	5058	na
decoy00091	unplaced-scaffold	na	na	JTFH01000043.1	<>	na	Primary Assembly	4959	na
decoy00094	unplaced-scaffold	na	na	JTFH01000044.1	<>	na	Primary Assembly	4853	na
decoy00096	unplaced-scaffold	na	na	JTFH01000045.1	<>	na	Primary Assembly	4828	na
decoy00097	unplaced-scaffold	na	na	JTFH01000046.1	<>	na	Primary Assembly	4819	na
decoy00099	unplaced-scaffold	na	na	JTFH01000047.1	<>	na	Primary Assembly	4809	na
decoy00102	unplaced-scaffold	na	na	JTFH01000048.1	<>	na	Primary Assembly	4710	na
decoy00103	unplaced-scaffold	na	na	JTFH01000049.1	<>	na	Primary Assembly	4680	na
decoy00106	unplaced-scaffold	na	na	JTFH01000050.1	<>	na	Primary Assembly	4645	na
decoy00111	unplaced-scaffold	na	na	JTFH01000051.1	<>	na	Primary Assembly	4514	na
decoy00112	unplaced-scaffold	na	na	JTFH01000052.1	<>	na	Primary Assembly	4439	na
decoy00113	unplaced-scaffold	na	na	JTFH01000053.1	<>	na	Primary Assembly	4416	na
decoy00114	unplaced-scaffold	na	na	JTFH01000054.1	<>	na	Primary Assembly	4409	na
decoy00115	unplaced-scaffold	na	na	JTFH01000055.1	<>	na	Primary Assembly	4392	na
decoy00118	unplaced-scaffold	na	na	JTFH01000056.1	<>	na	Primary Assembly	4359	na
decoy00120	unplaced-scaffold	na	na	JTFH01000057.1	<>	na	Primary Assembly	4319	na
decoy00121	unplaced-scaffold	na	na	JTFH01000058.1	<>	na	Primary Assembly	4290	na
